"ip1","ip2","ip3","ip4","tepat"
3.32,3.07,3.31,3.48,Ya
3.62,3.10,3.03,3.57,Tidak
3.22,2.86,2.86,3.19,Ya
2.51,1.35,2.77,2.98,Ya
2.67,1.77,2.96,3.06,Ya
2.67,1.46,3.42,3.12,Ya
2.38,1.55,2.79,3.52,Ya
2.20,2.39,2.85,3.00,Ya
2.91,2.55,3.09,2.93,Ya
3.10,2.72,3.40,3.10,Tidak
3.23,2.78,3.35,2.83,Ya
3.21,2.27,3.00,2.45,Ya
3.40,3.06,3.56,3.02,Ya
3.47,3.32,3.77,3.29,Ya
3.10,2.45,3.04,2.88,Ya
2.46,2.61,3.08,2.48,Ya
2.66,2.77,3.03,3.26,Ya
3.07,3.31,3.37,3.42,Ya
2.97,2.81,3.11,3.34,Ya
3.02,2.83,3.00,3.51,Ya
3.47,2.95,3.30,3.74,Ya
3.05,2.95,3.29,3.57,Tidak
3.65,3.44,3.34,3.45,Ya
3.01,3.40,3.26,3.25,Tidak
1.90,1.62,3.24,3.34,Ya
3.01,3.05,3.03,3.31,Tidak
3.36,3.70,3.67,3.71,Ya
3.01,3.22,3.09,3.33,Tidak
3.29,3.24,3.25,3.25,Ya
2.76,2.61,3.16,3.34,Ya
3.22,2.48,3.13,3.25,Tidak
3.13,2.94,2.68,3.42,Ya
3.00,3.19,3.20,3.25,Ya
3.32,3.44,3.58,3.34,Tidak
3.39,2.59,3.00,2.19,Tidak
2.38,2.39,2.54,2.75,Tidak
2.62,2.93,2.63,2.25,Tidak
3.42,3.75,3.42,3.31,Ya
3.60,3.72,3.82,3.61,Ya
2.67,2.68,3.61,3.00,Tidak
3.25,2.92,2.87,2.83,Tidak
3.31,3.54,3.36,3.12,Tidak
2.76,2.85,3.03,3.21,Ya
3.19,3.11,3.19,2.41,Tidak
3.60,3.36,3.34,3.30,Tidak
3.86,3.64,3.49,3.45,Tidak
2.84,2.34,2.72,2.81,Tidak
3.47,3.42,3.57,3.65,Ya
3.34,3.22,3.31,3.43,Ya
3.60,3.53,3.44,3.59,Ya
3.39,3.14,3.17,3.39,Ya
3.26,3.05,3.36,3.51,Ya
3.31,3.22,3.65,3.66,Ya
3.28,3.23,3.12,3.27,Ya
3.21,3.11,3.12,3.33,Ya
3.27,3.20,3.32,3.43,Ya
3.45,3.48,3.38,3.55,Ya
3.32,3.14,3.14,3.42,Ya
3.33,3.07,3.12,3.41,Ya
3.24,3.10,3.25,3.51,Ya
3.23,3.14,3.11,3.23,Ya
3.42,3.33,3.56,3.64,Ya
3.28,3.42,3.29,3.50,Ya
3.44,3.12,3.17,3.49,Ya
3.25,3.24,3.21,3.37,Ya
